Best,Epoch,Trades,Avg profit,Median profit,Total profit,Stake currency,Profit,Avg duration,Trade count long,Trade count short,Max drawdown,Max drawdown percent,Objective,roi_t1,roi_t2,roi_t3,roi_p1,roi_p2,roi_p3,stoploss
*,1,2673,-0.20%,-0.23569653010067892,-0.99443074,USDT,-994.43,0:20:00,2673,0,997.6442909600001,99.44%,188.97870,51,58,32,0.028000000000000004,0.019000000000000003,0.039,-0.33099999999999996
*,2,2669,-0.20%,-0.23603301561619097,-0.99453059,USDT,-994.53,0:20:00,2669,0,997.74414037,99.45%,195.15504,106,40,31,0.01,0.069,0.168,-0.27999999999999997
*,3,2681,-0.20%,-0.23531565179168495,-0.99443531,USDT,-994.44,0:20:00,2681,0,997.6488627799981,99.45%,195.46172,30,19,19,0.026000000000000002,0.036000000000000004,0.065,-0.14799999999999996
*,4,2701,-0.20%,-0.23532910364651607,-0.99445722,USDT,-994.46,0:20:00,2701,0,997.6707717100008,99.45%,191.21343,25,24,21,0.024,0.057,0.048,-0.17999999999999997
*,5,2722,-0.19%,-0.2353821195868206,-0.99443660,USDT,-994.44,0:20:00,2722,0,997.650155450001,99.45%,198.22649,75,12,28,0.015,0.013000000000000001,0.191,-0.030999999999999972
*,6,2671,-0.20%,-0.23569653010067892,-0.99443972,USDT,-994.44,0:20:00,2671,0,997.65327031,99.45%,190.68981,99,25,13,0.031,0.036000000000000004,0.033,-0.18699999999999997
*,7,2670,-0.20%,-0.23603879585586462,-0.99451275,USDT,-994.51,0:20:00,2670,0,997.7263037600002,99.45%,190.90603,13,56,18,0.03,0.028999999999999998,0.109,-0.16999999999999998
*,8,2668,-0.20%,-0.23584358247798493,-0.99442011,USDT,-994.42,0:20:00,2668,0,997.6336600499992,99.44%,190.26650,30,59,34,0.039,0.064,0.124,-0.044999999999999984
